Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
08/10/2022,A,Jayaprakash M,1,08-10-2022 07:04,08-10-2022 07:05,Bobbin Change,Kg Completed,Not Applicable,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 07:05,08-10-2022 07:06,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 07:06,08-10-2022 07:07,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 07:07,08-10-2022 07:08,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 07:08,08-10-2022 07:09,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,6,08-10-2022 07:09,08-10-2022 07:15,Setting Change,Life Completed,Not Applicable,Not Applicable
08/10/2022,A,Jayaprakash M,8,08-10-2022 07:15,08-10-2022 07:23,Skin Pass Change,Fresh Solution (6.75MT),Life Completed,Not Applicable
08/10/2022,A,Jayaprakash M,4,08-10-2022 09:08,08-10-2022 09:12,Bobbin Change,Kg Completed,Not Applicable,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 09:12,08-10-2022 09:13,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 09:13,08-10-2022 09:14,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 09:14,08-10-2022 09:15,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 09:15,08-10-2022 09:16,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 09:16,08-10-2022 09:17,Final Die Change,Life Completed,As per SOP,Not Applicable
08/10/2022,A,Jayaprakash M,2,08-10-2022 10:58,08-10-2022 11:00,Bobbin Change,Kg Completed,Not Applicable,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 11:00,08-10-2022 11:01,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 11:01,08-10-2022 11:02,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 11:02,08-10-2022 11:03,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
08/10/2022,A,Jayaprakash M,1,08-10-2022 11:03,08-10-2022 11:04,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
