Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
18/04/2023,A,K. Magesh,2,18/04/2023 06:24:01,18/04/2023 06:26:01,Bobbin Change,Kg Completed,Not Applicable,Not Applicable
18/04/2023,A,K. Magesh,1,18/04/2023 06:26:01,18/04/2023 06:27:01,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,2,18/04/2023 06:27:01,18/04/2023 06:29:01,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
18/04/2023,A,K. Magesh,1,18/04/2023 06:29:01,18/04/2023 06:30:01,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,2,18/04/2023 06:30:01,18/04/2023 06:32:01,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,3,18/04/2023 07:27:01,18/04/2023 07:30:01,Bobbin Change,Kg Completed,Not Applicable,Not Applicable
18/04/2023,A,K. Magesh,1,18/04/2023 07:30:01,18/04/2023 07:31:01,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,2,18/04/2023 07:31:01,18/04/2023 07:33:01,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
18/04/2023,A,K. Magesh,1,18/04/2023 07:33:01,18/04/2023 07:34:01,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,1,18/04/2023 07:34:01,18/04/2023 07:35:01,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
18/04/2023,A,K. Magesh,4,18/04/2023 07:35:01,18/04/2023 07:39:01,Final Die Change,Life Completed,As per SOP,Not Applicable
18/04/2023,A,K. Magesh,5,18/04/2023 07:39:01,18/04/2023 07:44:01,Skin Pass Change,Fresh Solution (6.75MT),Life Completed,Not Applicable
