Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,23 / DP,15.00,17/04/2023 05:20:01,17/04/2023 05:36:01,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,23 / DP,4.00,17/04/2023 06:04:01,17/04/2023 06:09:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,3.00,17/04/2023 06:37:01,17/04/2023 06:41:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,5.00,17/04/2023 07:09:01,17/04/2023 07:14:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,4.00,17/04/2023 07:45:01,17/04/2023 07:48:41,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,23 / DP,2.00,17/04/2023 07:49:01,17/04/2023 07:52:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,4.00,17/04/2023 08:21:01,17/04/2023 08:25:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,2.00,17/04/2023 08:54:01,17/04/2023 08:56:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,2.00,17/04/2023 09:25:01,17/04/2023 09:28:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,4.00,17/04/2023 09:56:01,17/04/2023 10:00:01,reason not entered,null,null,null
17/04/2023,Mornings,23 / DP,4.00,17/04/2023 10:05:01,17/04/2023 10:07:49,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,23 / DP,3.00,17/04/2023 10:08:01,17/04/2023 10:11:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,16.00,17/04/2023 10:40:01,17/04/2023 10:57:01,reason not entered,null,null,null
