Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,None,25.67,17/04/2023 05:20:11,17/04/2023 05:46:15,reason not entered,null,null,null
17/04/2023,Mornings,None,0.50,17/04/2023 05:48:46,17/04/2023 05:50:16,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 05:52:46,17/04/2023 05:54:17,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 05:56:37,17/04/2023 05:58:07,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 06:00:37,17/04/2023 06:02:38,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 06:05:18,17/04/2023 06:06:38,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 06:09:08,17/04/2023 06:10:39,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 06:13:09,17/04/2023 06:14:39,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 06:17:20,17/04/2023 06:18:50,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 06:21:10,17/04/2023 06:22:40,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 06:25:21,17/04/2023 06:26:51,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 06:29:21,17/04/2023 06:30:42,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 06:32:32,17/04/2023 06:34:02,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,1.33,17/04/2023 06:35:52,17/04/2023 06:38:13,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,42.33,17/04/2023 06:40:03,17/04/2023 07:23:59,reason not entered,null,null,null
17/04/2023,Mornings,None,0.50,17/04/2023 07:25:39,17/04/2023 07:27:04,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 07:28:55,17/04/2023 07:30:25,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 07:32:05,17/04/2023 07:33:35,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 07:35:36,17/04/2023 07:37:06,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 07:38:54,17/04/2023 07:40:24,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,11.67,17/04/2023 07:42:15,17/04/2023 07:54:56,reason not entered,null,null,null
17/04/2023,Mornings,None,0.50,17/04/2023 07:57:17,17/04/2023 07:58:47,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:01:07,17/04/2023 08:02:37,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,3.00,17/04/2023 08:03:17,17/04/2023 08:06:18,reason not entered,null,null,null
17/04/2023,Mornings,None,0.67,17/04/2023 08:08:18,17/04/2023 08:09:48,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:11:58,17/04/2023 08:13:28,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:15:28,17/04/2023 08:16:59,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:18:59,17/04/2023 08:20:29,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 08:22:29,17/04/2023 08:24:09,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:26:20,17/04/2023 08:27:50,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 08:30:00,17/04/2023 08:31:40,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 08:33:51,17/04/2023 08:35:21,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 08:37:41,17/04/2023 08:39:11,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.50,17/04/2023 08:41:21,17/04/2023 08:42:52,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 08:45:02,17/04/2023 08:46:42,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,3.50,17/04/2023 08:49:03,17/04/2023 08:53:43,reason not entered,null,null,null
17/04/2023,Mornings,None,1.83,17/04/2023 08:55:53,17/04/2023 08:58:43,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.67,17/04/2023 09:01:04,17/04/2023 09:02:34,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,1.67,17/04/2023 09:04:34,17/04/2023 09:07:15,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 09:09:25,17/04/2023 09:10:55,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,None,0.83,17/04/2023 09:12:55,17/04/2023 09:14:36,Spool Change,Kg Completed,Not Applicable,Not Applicable
