"Description 1","Conversion Factor","Description 2","Description 3","Description 4","Output Product Code","Standard Speed",Unit,"Speed % Less than Standard","Speed % Greater Than Standard","Target Production",Unit,"% Less Than Target Production","% Greater than Target Production","Standard Uptime",Unit,"% less than Standard Uptime","% Greater Than Standard Uptime","Product Belong to Machine"
0.78,0.00844318,mm,--,ER70S6,ER70S6-0.8mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
0.88,0.00844318,mm,--,ER70S6,ER70S6-0.9mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
0.98,0.00844318,mm,--,ER70S6,ER70S6-1.0mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.17,0.00844318,mm,--,ER70S6,ER70S-6-1.2mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.31,0.00844318,mm,--,ER70S6,ER70S6-1.32mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.37,0.00844318,mm,--,ER70S6,ER70S6-1.4mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.57,0.00972,mm,Bobbin,ER70S6,ER70S6-1.6mm-B,13,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.57,0.01583,mm,Reel,ER70S6,ER70S6-1.6mm-R,8,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.17,0.00844318,mm,--,EM12K,EM12K-1.2mm,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.57,0.00844318,mm,Bobbin,EM12K,EM12K-1.6mm-B,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.17,0.02532,mm,--,ER90S-G,ER90S-G-1.2mm,5,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
1.57,0.00844318,mm,Bobbin,EA2,EA2-1.6mm-B,15,m/sec,90,100,3027.39,Kg,90,100,83,%,90,100,"0-For Complete Shop"
