Area,Reason,Major_id,Major_reason,Minor_id,Minor_reason,Sub_minor_id,Sub_minor_Reason,Sub_Sub_minor_reason
N/A,N/A,N/A,"Bobbin Change",N/A,"Kg Completed",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Bobbin Change",N/A,"Wire Cut",N/A,Others,"Not Applicable"
N/A,N/A,N/A,"Bobbin Change",N/A,"Travels Problem",N/A,Others,"Not Applicable"
N/A,N/A,N/A,"Bobbin Change",N/A,"Not Applicable",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Break Time",N/A,"Meals Break",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Break Time",N/A,"Tea Break",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Break Time",N/A,Others,N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"DD Input NA",N/A,"Dry Draw Reel N/A",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Final Die Change",N/A,"Die Broken",N/A,Others,"Not Applicable"
N/A,N/A,N/A,Leakage,N/A,"R.W Leakage",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,Leakage,N/A,"Wet Bath Leak",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"NPD Trial",N/A,"Not Applicable",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Output Bobbin NA",N/A,"Empty Bobbin N/A",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,Pulleys,N/A,"SnubP Changed",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,Pulleys,N/A,"BearingP Changed",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,Pulleys,N/A,"Check ups",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Color Problem",N/A,"large diamter","Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Copper Flow",N/A,"Flow Issue","Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Copper Temp.",N/A,Low,"Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Copper Temp.",N/A,High,"Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Emulsion Flow",N/A,"Flow Issue","Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Emulsion Temp.",N/A,Low,"Not Applicable"
N/A,N/A,N/A,"QA Stops",N/A,"Emulsion Temp.",N/A,High,"Not Applicable"
N/A,N/A,N/A,"Setting Change",N/A,"Diameter Change",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Skin Pass Change",N/A,"Life Completed",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Skin Pass Change",N/A,"Die Scratch",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Skin Pass Change",N/A,"Wire Scratch",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Steel Wool Change",N/A,"Life Completed",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Cu Tank",N/A,"Die Broken","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Final Die",N/A,"Die Broken","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,Cast-Helix,N/A,"Material Problem","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Wire Scratch",N/A,"Die Problem","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Wire Scratch",N/A,"Material Problem","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Wire Pulling",N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,Re-Setting,N/A,"Setting Broken","Not Applicable"
N/A,N/A,N/A,Safety,N/A,Leakages,N/A,"Not Applicable","Not Applicable"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.96 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.96 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.96 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.96 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.78 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.78 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.78 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.78 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.63 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.63 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.63 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.63 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.48 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.48 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.48 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.48 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.35 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.35 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.35 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.35 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.26 die","Die Broken"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.26 die","Die Scratch"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.26 die","Life Completed"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"1.26 die","Die Oversize"
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Emulsion flow","Low "
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Emulsion flow",High
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Emulsion Temp.","Low "
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Emulsion Temp.",High
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,"Card board",Damage
N/A,N/A,N/A,"Wire Cut",N/A,"Wet Bath",N/A,Others,NA
