"Description 1",Diameter,"Description 2","Description 3","Description 4","Input Product Name","Product Belongs to Machine"
SG2,0.80,LS,X,X,"BOBBIN 0.8","0-For Complete Shop"
SG2,0.90,LS,X,X,"BOBBIN 0.9","0-For Complete Shop"
SG2,1.00,LS,X,X,"BOBBIN 1.0","0-For Complete Shop"
SG3,1.00,LS,X,X,"BOBBIN 1.0G3","0-For Complete Shop"
SG2,1.00,HS,X,X,"BOBBIN 1.0HS","0-For Complete Shop"
SG2,1.20,LS,X,X,"BOBBIN 1.2","0-For Complete Shop"
SG3,1.20,HS,X,X,"BOBBIN 1.2G3","0-For Complete Shop"
SG2,1.20,HS,X,X,"BOBBIN 1.2HS","0-For Complete Shop"
SG2,1.32,LS,X,X,"BOBBIN 1.32","0-For Complete Shop"
SG3,1.32,HS,X,X,"BOBBIN 1.32G3","0-For Complete Shop"
SG2,1.40,LS,X,X,"BOBBIN 1.4","0-For Complete Shop"
SG3,1.40,HS,X,X,"BOBBIN 1.4G3","0-For Complete Shop"
SG2,1.60,LS,X,X,"BOBBIN 1.6","0-For Complete Shop"
SG3,1.60,HS,X,X,"BOBBIN 1.6G3","0-For Complete Shop"
SG2,1.60,HS,X,X,"BOBBIN 1.6HS","0-For Complete Shop"
SG3,2.00,HS,X,X,"BOBBIN 2.0G3","0-For Complete Shop"
