"Description 1","Conversion Factor","Description 2","Description 3","Description 4","Output Product Code","Standard Speed    Unit","Speed % Less than Standard","Speed % Greater Than Standard","Target Production",Unit,"% Less Than Target Production","% Greater than Target Production","Standard Uptime",Unit,"% less than Standard Uptime","% Greater Than Standard Uptime","Product Belong to Machine"
SupraMig,0.00591,"1.0 mm",250,"FIBRE DRUM",16S10250DFM,30,m/sec,80,90,4100,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultr",0.00591,"1.0 mm",250,"FIBRE DRUM",16310250DFM,30,m/sec,80,90,4100,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Stein Basket",1631015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Stein Basket",1631015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Stein Basket",1631015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Drive Hole Basket",1631015DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PLF,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PLV,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",18,"Stein Basket",1631018BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
